name,price
笨办法学Python 3+用Python写网络爬虫 第2版 基础编程 自学教材书,65.90
Python语言程序设计基础 第二版 Python嵩天 python教材 python教程 pyth,33.04
Python基础实例教程（微课版）,35.10
基于深度学习的自然语言处理+Python自然语言处理实战 套装共2册,122.80
数据馆员的Python简明手册,43.50
官方正版 自学是门手艺 李笑来 没有自学能力的人没有未来python编程从入门到精通 p,71.28
自然语言处理Python进阶,41.30
Python机器学习入门（影印版 英文版）,72.30
Python编程项目实战三部曲：Python编程快速上手+Python极客项目编程+Python游,134.60
自动机器学习入门与实践--使用Python,33.90
自学是门手艺：没有自学能力的人没有未来(博文视点出品),88.10
交互的Python 数据分析入门(异步图书出品),35.55
Python全能开发组合套装（京东套装共2册）,192.80
Python编程基础教程(异步图书出品),31.05
大话Python机器学习,43.09
从Python开始学编程,36.70
PYTHON数据结构与算法分析 第2版,56.10
【自营】C语言+java编程入门指南 SQL Server/Visual Studio/Visual C++/Web/JSP/MySQL/javascript/可搭python/HTML,80.00
Python基础视频教程(博文视点出品),52.50
现货  赠教学视频2500分钟 python从小白到大牛 300个示例源代码,68.00
现货包邮正版 超简单：用Python让Excel飞起来 王秀文 办公自动化|8071559,45.40
Python项目案例开发从入门到实战——爬虫、游戏和机器学习（从入门到实战·微课视频）,59.90
Python地理数据处理,55.30
正版现货 Python数学实验与建模 司守奎 孙玺菁 科学出版社,142.06
量化投资(以Python为工具)/金融科技丛书,49.50
Python自动化测试实战,62.10
Python Qt GUI与数据可视化编程 pyqt5教程书籍 pyqt5快速开发与实战Qt5 G,49.50
Python预测之美 数据分析与算法实战 预测概念理解 预测方法论 分析方法 特征技术 模型优化及评,86.00
Python青少年趣味编程python少儿编程入门少儿编程基础教材scratch少儿趣味编程,229.40
Python自然语言处理 全新正版,68.00
Python测试之道,46.50
Python程序设计,34.90
给所有人的Python(第4版),54.40
PYTHON统计分析 ,60.00
包邮 笨办法学Python 3 进阶篇+笨办法 学Python 3,82.80
零基础学编程：树莓派和Python(博文视点出品),43.60
